P,x
Genetic_Algorithm,6
Genetic_Algorithm,13
Genetic_Algorithm,19
Genetic_Algorithm,23
Genetic_Algorithm,33
Genetic_Algorithm,36
Genetic_Algorithm,39
Genetic_Algorithm,47
Genetic_Algorithm,64
Genetic_Algorithm,73
Genetic_Algorithm,75
Genetic_Algorithm,80
Genetic_Algorithm,112
Genetic_Algorithm,118
Genetic_Algorithm,131
Genetic_Algorithm,151
Genetic_Algorithm,163
Genetic_Algorithm,212
Genetic_Algorithm,229
Degree_Centrality,229
Degree_Centrality,212
Degree_Centrality,176
Degree_Centrality,169
Degree_Centrality,163
Degree_Centrality,151
Degree_Centrality,131
Degree_Centrality,126
Degree_Centrality,120
Degree_Centrality,118
Degree_Centrality,112
Degree_Centrality,112
Degree_Centrality,106
Degree_Centrality,102
Degree_Centrality,89
Degree_Centrality,89
Degree_Centrality,88
Degree_Centrality,86
Degree_Centrality,85
Degree_Centrality,84
Degree_Centrality,80
Degree_Centrality,80
Degree_Centrality,79
